Neutroticism:Anxiety,Neutroticism:Angry Hostility,Neutroticism:Depression,Neutroticism:Self-Consciousness,Neutroticism:Impulsiveness,Neutroticism:Vulnerability,Extraversion:Warmth,Extraversion:Gregariousness,Extraversion:Assertiveness,Extraversion:Activity,Extraversion:Excitement-Seeking,Extraversion:Positive Emotions,Openness:Fantasy,Openness:Aesthetics,Openness:Feelings,Openness:Actions,Openness:Ideas,Openness:Values,Agreeableness:Trust,Agreeableness:Straightforwardness,Agreeableness:Altruism,Agreeableness:Compliance,Agreeableness:Modesty,Agreeableness:Tender-Mindedness,Conscientiousness:Competence,Conscientiousness:Order,Conscientiousness:Dutifulness,Conscientiousness:Achievement Striving,Conscientiousness:Self-Discipline,Conscientiousness:Deliberation,Novelty Seeking:Exploratory Excitability,Novelty Seeking:Impulsiveness,Novelty Seeking:Extravagance,Novelty Seeking:Disorderliness,Harm avoidance:Worry & pessimism,Harm avoidance:Fear of uncertainty,Harm avoidance:Shyness with strangers,Harm avoidance:Fatigability & asthenia,Reward dependence:Sentimentality,Reward dependence:Warm communication,Reward dependence:Attachment,Reward dependence:Dependence,Persistence:Eagerness of effort,Persistence:Work hardened,Persistence:Ambitious,Persistence:Perfectionist,Self-directedness:Responsibility,Self-directedness:Purposefulness,Self-directedness:Resourcefulness,Self-directedness:Self-acceptance,Self-directedness:Enlightened second nature,Cooperativeness:Social acceptance,Cooperativeness:Empathy,Cooperativeness:Helpfulness,Cooperativeness:Compassion,Cooperativeness:Pure-hearted conscience,Self-transcendence:Self-forgetful,Self-transcendence:Transpersonal identification,Self-transcendence:Spiritual acceptance,Primary Trait Dimensions:Well-being,Primary Trait Dimensions:Social Potency,Primary Trait Dimensions:Achievement,Primary Trait Dimensions:Social Closeness,Primary Trait Dimensions:Stress Reaction,Primary Trait Dimensions:Aggression,Primary Trait Dimensions:Alienation,Primary Trait Dimensions:Control,Primary Trait Dimensions:Harm-avoidance,Primary Trait Dimensions:Traditionalism,Primary Trait Dimensions:Absorption,Folk Scales:Dominance,Folk Scales:Capacity for Status,Folk Scales:Sociability,Folk Scales:Social Presence,Folk Scales:Self-acceptance,Folk Scales:Independance,Folk Scales:Empathy,Folk Scales:Responsibility,Folk Scales:Socialization,Folk Scales:Self-control,Folk Scales:Good Impression,Folk Scales:Communality,Folk Scales:Well-being,Folk Scales:Tolerance,Folk Scales:Achievement via Conformance,Folk Scales:Achievement via Independence,Folk Scales:Intellectual Efficiency,Folk Scales:Psychological-mindedness,Folk Scales:Flexibility,Folk Scales:Femininity,Special Purpose Scales:Managerial Potential,Special Purpose Scales:Work Orientation,Special Purpose Scales:Creative Temperament,Special Purpose Scales:Leadership,Special Purpose Scales:Amicability,Special Purpose Scales:Law Enforcement Orientation,Special Purpose Scales:Tough-mindedness,Honesty-Humility:Sincerity,Honesty-Humility:Fairness,Honesty-Humility:Greed Avoidance,Honesty-Humility:Modesty,Emotionality:Fearfulness,Emotionality:Anxiety,Emotionality:Dependence,Emotionality:Sentimentality,eXtraversion:Expressiveness,eXtraversion:Social Boldness,eXtraversion:Sociability,eXtraversion:Liveliness,Agreeableness:Forgiveness,Agreeableness:Gentleness,Agreeableness:Flexibility,Agreeableness:Patience,Concienciousness:Organization,Concienciousness:Diligence,Concienciousness:Perfectionism,Concienciousness:Prudence,Openness to Experience:Aesthetic Appreciation,Openness to Experience:Inquisitiveness,Openness to Experience:Creativity,Openness to Experience:Unconventionality,Scales:Complexity,Scales:Breadth of Interest,Scales:Innovation,Scales:Tolerance,Scales:Empathy,Scales:Anxiety,Scales:Cooperativeness,Scales:Sociability,Scales:Social Confidence,Scales:Energy Level,Scales:Social Astuteness,Scales:Risk Taking,Scales:Organization,Scales:Traditional Values,Scales:Responsibility,Extraversion:Affiliation,Extraversion:Dominance,Extraversion:Exhibition,Agreeableness:Abasement,Agreeableness:Even-tempered,Agreeableness:Good-natured,Independence:Autonomy,Independence:Individualism,Independence:Self Reliance,Openness to Experince:Change,Openness to Experince:Understanding,Openness to Experince:Breadth of Interest,Methodicalness:Cognitive Structure,Methodicalness:Deliberativeness,Methodicalness:Order,Industriousness:Achievement,Industriousness:Endurance,Industriousness:Seriousness,Adjustment:Empathy,Adjustment:Not anxious,Adjustment:No guilt,Adjustment:Calmness,Adjustment:Even-tempered,Adjustment:No somatic complaints,Adjustment:Trusting,Adjustment:Good attachment,Ambition:Competitive,Ambition:Self confidence,Ambition:No depression,Ambition:Leadership,Ambition:Identity,Ambition:No social anxiety,Sociability:Likes parties,Sociability:Likes crowds,Sociability:Experience-seeking,Sociability:Exhibitionistic,Sociability:Entertaining,Interpersonal Sensitivity:Easy to live with,Interpersonal Sensitivity:Sensitive,Interpersonal Sensitivity:Caring,Interpersonal Sensitivity:Likes people,Interpersonal Sensitivity:No hostility,Prudence:Moralistic,Prudence:Mastery,Prudence:Virtuous,Prudence:Not autonomous,Prudence:Not spontaneous,Prudence:Impulse control,Prudence:Avoids trouble,Learning Approach:Education,Learning Approach:Math ability,Learning Approach:Good memory,Learning Approach:Reading
87,53,80,87,47,83,57,43,33,43,60,57,37,73,73,83,50,67,53,57,60,37,33,73,37,53,60,33,37,27,70,60,43,53,73,67,70,57,57,47,60,37,50,50,37,37,23,43,20,23,50,57,77,60,37,37,77,87,23,57,40,27,63,90,57,63,37,43,53,73,33,40,33,50,40,13,50,50,63,27,37,50,37,30,30,43,57,43,30,60,20,47,43,27,50,40,17,57,47,30,33,60,77,67,63,60,47,53,47,60,53,50,57,47,33,67,43,63,73,70,57,50,73,50,47,63,73,60,63,37,40,53,53,40,33,47,60,30,50,47,47,37,43,33,43,60,83,73,47,37,43,40,33,20,70,27,37,17,47,23,43,83,37,20,33,40,43,33,53,50,80,70,73,70,80,73,53,50,47,47,57,60,30,30,37,67,33,77,44
23,30,23,10,53,17,60,67,77,60,80,73,63,50,33,60,70,60,67,23,50,30,23,30,63,47,30,40,30,27,60,73,57,90,10,20,27,53,30,60,47,33,30,50,53,27,90,80,83,43,40,33,37,53,50,23,37,20,27,80,73,40,47,20,60,20,23,27,37,40,80,87,77,80,83,97,77,50,30,20,43,87,67,47,67,77,77,77,53,17,70,63,70,83,70,53,70,17,20,23,23,23,13,40,23,70,80,60,77,40,33,37,37,53,33,37,23,53,67,63,57,57,53,70,33,17,20,20,47,83,63,90,77,43,7,20,60,77,67,30,40,43,53,63,70,63,57,60,37,23,57,20,53,17,63,80,67,77,70,77,67,43,70,87,67,73,63,90,60,67,50,80,73,47,37,50,57,47,20,37,27,27,50,10,47,73,83,77,56
53,43,50,73,53,47,13,13,17,20,27,23,83,43,47,50,83,67,40,87,60,70,87,70,47,30,70,23,27,83,40,30,3,27,63,63,87,80,43,17,30,67,27,57,33,43,33,40,33,73,60,60,70,67,43,33,23,37,3,40,17,57,30,63,47,57,70,67,33,27,17,13,17,20,17,33,30,87,50,87,77,77,50,57,70,63,77,67,67,60,60,63,67,30,63,47,53,83,63,73,83,67,60,50,57,13,13,13,13,23,60,53,47,20,30,63,57,50,80,77,73,73,57,77,30,43,47,67,30,17,20,17,27,30,17,63,13,23,10,43,60,60,47,43,63,47,77,60,67,70,37,27,60,47,40,53,50,77,57,20,47,57,23,27,60,23,53,20,17,17,43,13,33,30,70,47,17,50,27,50,47,77,77,60,60,73,78,87,83
100,90,73,77,80,87,60,43,80,77,73,63,83,100,80,83,90,80,37,80,83,60,50,83,73,93,87,90,80,80,83,0,73,60,90,40,40,37,100,60,37,60,60,83,90,93,10,43,63,53,20,83,100,63,83,60,87,100,43,60,70,93,67,93,47,80,100,40,30,100,73,60,53,70,73,23,80,23,20,53,27,43,20,20,30,60,53,50,20,37,37,20,40,37,17,67,13,63,23,60,67,27,100,67,100,80,67,60,73,63,63,63,47,100,93,93,100,100,90,83,87,90,97,93,63,100,100,80,67,73,63,50,60,93,30,23,67,67,57,30,7,43,33,13,0,83,87,100,100,100,100,73,93,33,30,0,20,7,10,50,3,40,80,43,23,67,30,60,60,43,83,63,93,100,100,100,47,80,27,87,40,80,30,70,20,37,67,57,78
53,83,53,47,57,47,53,63,67,57,67,57,67,53,50,87,47,60,60,47,60,43,43,50,43,30,30,47,43,23,80,80,57,77,57,33,50,53,53,53,47,40,37,33,53,50,50,43,63,53,37,37,53,37,50,27,63,37,33,47,63,47,67,67,67,47,23,33,30,37,57,60,50,67,57,57,57,20,33,20,37,57,30,27,27,37,47,47,77,60,30,30,70,50,30,43,40,43,17,43,40,43,37,47,57,70,57,67,53,33,23,17,7,30,40,40,20,50,47,80,50,57,53,63,53,70,50,23,67,50,50,73,70,20,33,17,57,63,50,33,23,27,47,67,33,73,77,40,17,23,30,37,47,30,23,50,30,50,17,47,43,73,60,67,33,67,33,57,67,67,83,63,67,43,53,63,50,33,17,33,33,30,40,33,30,70,11,67,33
53,40,30,50,53,37,47,30,40,50,33,50,23,40,30,57,70,70,63,80,57,63,70,53,80,73,83,37,63,87,53,13,27,23,40,60,57,43,43,40,50,77,27,43,37,53,57,70,50,37,57,43,47,60,47,37,17,37,10,63,37,53,33,53,53,33,87,67,40,23,47,53,57,50,57,50,50,83,83,80,60,57,70,43,87,50,83,70,30,67,60,70,27,70,83,77,67,70,80,47,57,67,60,33,40,33,43,33,53,27,47,37,40,73,47,77,80,57,80,37,53,70,63,37,33,37,50,70,33,53,47,20,23,60,27,80,33,50,27,27,57,43,53,40,50,67,73,60,80,87,77,47,63,53,43,50,70,63,60,47,60,83,57,53,80,53,70,67,30,30,60,20,20,37,53,50,43,60,30,57,40,63,80,73,60,63,50,80,78
93,47,87,80,60,90,33,20,27,23,37,37,77,80,80,70,73,63,53,93,70,80,73,83,23,27,47,33,17,67,77,23,33,20,87,67,87,80,67,37,57,43,10,27,43,43,37,33,40,63,27,83,77,80,77,67,63,73,53,33,23,50,40,87,13,63,70,73,37,80,23,20,17,30,20,10,40,60,67,57,40,43,23,43,47,67,50,43,60,83,23,23,50,10,50,23,20,87,67,80,80,67,90,70,77,27,23,17,20,60,77,73,73,20,23,53,57,67,63,63,80,80,57,63,63,83,90,67,40,13,27,23,23,20,40,67,20,23,20,43,53,63,53,47,40,67,67,70,77,70,27,27,43,37,57,10,23,23,53,10,60,83,43,17,20,27,43,17,27,30,73,33,43,73,77,63,20,77,13,47,60,70,40,73,50,63,50,70,61
100,97,83,100,80,100,27,3,3,0,20,20,60,100,93,67,77,73,23,77,63,43,100,100,20,10,63,7,30,30,47,50,57,60,100,77,97,97,73,27,57,40,7,40,3,30,0,3,20,60,20,67,93,57,77,43,93,80,27,23,20,47,37,100,50,83,30,43,57,97,3,3,3,13,3,3,17,23,20,27,17,57,17,3,10,43,57,57,30,67,7,33,23,3,20,27,0,80,40,80,100,60,100,53,87,40,3,13,7,53,37,33,20,30,30,60,27,100,100,97,80,57,97,97,27,93,100,80,37,3,7,33,23,30,20,40,20,20,0,53,0,27,57,40,53,67,97,100,63,30,50,10,47,53,7,0,17,0,3,0,3,53,7,0,17,0,17,3,0,0,53,20,73,57,93,73,13,53,20,27,43,80,47,53,20,43,67,60,100
73,60,63,63,50,73,47,47,30,23,63,40,67,67,57,60,57,77,53,57,60,60,60,57,47,60,50,37,47,53,60,37,30,53,73,53,73,67,53,40,43,67,30,43,43,53,43,27,43,60,40,60,57,50,53,37,47,47,20,33,43,53,57,67,60,50,57,47,27,57,30,27,23,40,23,20,40,60,67,40,50,57,40,43,43,63,50,50,43,70,27,40,50,17,57,47,37,57,47,53,67,57,70,67,57,33,23,47,30,43,63,57,60,57,40,57,50,63,63,50,63,70,63,50,50,63,70,67,57,23,33,53,60,53,27,47,40,43,30,50,43,57,33,37,27,53,57,73,67,57,63,37,53,37,43,30,40,30,40,23,43,83,33,27,33,37,40,23,47,47,60,50,50,57,57,60,40,53,27,50,53,70,50,43,47,53,44,60,44
27,30,30,30,30,13,70,73,90,90,63,87,73,100,80,87,93,50,53,40,83,77,27,77,87,43,77,83,73,77,83,23,57,60,30,30,13,27,77,77,70,43,70,67,83,70,60,80,80,30,70,47,93,87,53,73,80,70,90,77,93,73,87,37,53,40,77,50,40,83,87,83,87,83,90,77,87,80,67,70,67,67,57,50,77,70,77,67,40,67,83,50,57,77,70,77,77,37,50,20,10,40,33,63,80,83,87,90,83,67,63,33,60,43,83,83,77,100,90,90,90,87,97,93,57,80,30,27,87,90,77,83,50,60,67,50,90,90,77,33,77,23,37,67,7,87,90,100,77,77,63,73,90,23,70,70,57,83,70,77,50,63,87,83,67,90,67,87,90,77,87,77,87,80,97,90,77,57,53,83,77,23,37,57,40,80,94,93,89
67,70,40,37,57,47,60,30,83,73,30,63,77,80,83,60,90,73,50,73,67,27,30,73,67,43,53,63,53,60,63,43,63,40,57,63,27,20,70,60,67,40,60,77,73,57,50,57,73,50,43,50,80,50,27,63,67,73,33,60,63,67,43,50,70,33,57,57,30,67,83,73,73,77,80,63,83,70,67,53,63,70,63,50,57,77,87,80,57,50,67,57,53,70,53,57,70,63,50,27,23,63,73,43,60,80,77,47,73,27,43,37,20,33,50,57,57,73,83,80,77,83,73,80,40,70,67,53,43,73,80,40,40,33,27,50,53,70,67,37,23,40,70,40,63,53,83,77,63,57,30,63,67,30,27,33,63,37,30,77,30,83,77,63,50,83,60,77,47,37,53,63,90,37,80,80,50,37,30,60,30,53,50,43,47,80,72,77,50
63,17,43,77,40,47,50,3,63,60,30,50,87,73,90,87,90,90,80,100,77,53,93,93,53,33,80,73,63,77,83,17,3,13,60,47,80,40,67,53,50,80,73,83,67,67,53,67,53,73,70,87,70,97,87,57,77,93,40,83,27,73,33,63,10,33,87,77,30,80,53,23,27,20,37,50,50,83,77,83,77,90,57,70,73,67,77,67,53,43,87,70,47,53,90,50,50,100,83,100,97,30,70,47,77,20,37,17,50,97,70,73,60,30,70,83,83,73,90,80,77,90,87,90,83,93,50,83,33,30,60,0,20,43,20,83,37,27,0,73,60,53,53,40,40,83,90,87,83,87,47,77,83,27,77,50,57,60,83,43,77,83,53,37,77,37,67,33,23,20,80,3,53,93,70,53,27,83,70,73,73,100,37,77,57,63,72,83,78
50,77,53,50,67,47,23,23,53,43,67,37,60,47,37,50,67,73,40,33,30,13,47,30,40,43,43,50,37,30,53,67,47,83,57,33,67,63,27,27,33,30,30,53,53,33,43,43,63,37,33,30,33,30,30,17,40,30,7,37,57,40,20,60,80,43,33,30,37,47,47,37,30,50,40,50,40,40,17,23,27,63,37,27,43,57,73,63,70,27,30,40,57,37,33,43,37,33,17,20,30,30,43,23,23,53,40,30,27,23,13,17,13,40,33,43,33,37,67,77,50,53,43,77,47,23,53,30,20,33,43,60,73,40,27,17,27,67,37,17,13,23,73,60,80,57,60,50,30,33,40,33,43,50,23,47,37,43,23,40,37,30,57,57,30,70,37,37,40,33,57,47,67,23,33,27,27,23,27,40,17,30,57,30,30,73,83,70,78
3,50,33,30,23,17,77,40,100,80,50,83,53,77,60,100,73,90,50,20,63,23,0,53,80,53,77,77,90,77,100,23,50,80,0,13,23,7,63,60,53,27,63,40,83,53,70,90,87,10,73,3,77,33,23,23,53,63,40,70,100,53,40,20,80,47,73,37,17,83,100,87,83,87,100,87,100,40,57,67,57,63,53,27,83,33,53,40,37,50,77,53,63,87,70,77,67,7,20,3,0,33,0,20,43,90,100,53,97,27,3,3,0,70,77,53,80,73,57,87,77,80,87,87,47,37,3,3,40,93,97,80,53,70,20,20,73,100,80,30,37,23,80,60,53,93,70,80,90,73,83,80,73,27,40,97,53,93,50,97,40,47,97,87,80,100,70,87,53,60,100,100,90,27,77,97,67,23,23,60,17,3,70,57,23,70,89,87,56
73,73,77,80,50,73,7,23,3,17,67,23,90,60,60,73,73,83,37,63,43,70,63,50,23,57,43,23,20,60,67,30,23,53,77,53,97,73,47,10,23,70,20,57,33,47,33,23,30,53,40,53,50,53,57,37,63,57,10,27,20,57,7,73,50,53,60,53,27,50,3,7,0,20,3,23,27,63,37,47,43,70,33,53,50,67,63,57,47,60,27,37,43,10,40,20,30,73,43,60,60,53,73,33,47,13,7,20,13,57,57,63,43,43,30,53,53,53,73,60,83,70,53,63,70,50,70,70,7,3,30,30,57,30,7,43,7,20,27,50,37,53,67,23,57,73,63,63,63,60,33,30,57,27,37,30,33,40,27,27,33,63,27,7,27,13,37,3,37,37,70,30,40,60,53,37,3,63,23,43,47,80,37,43,37,67,83,67,72
47,60,50,43,40,60,67,40,73,50,43,57,73,77,80,83,77,73,67,80,77,57,27,67,63,57,60,40,43,47,80,43,40,43,37,37,40,53,73,63,70,43,27,57,53,37,67,73,67,47,47,63,80,60,57,50,60,63,20,53,67,50,73,43,43,30,57,50,40,70,73,60,63,63,70,53,67,47,57,50,50,77,47,57,53,70,73,73,43,47,47,50,47,60,57,53,40,60,40,27,27,47,30,63,77,57,77,60,43,57,60,67,47,57,33,53,53,73,83,70,73,60,73,73,63,80,37,43,73,67,50,40,40,47,17,40,63,67,60,40,40,57,43,40,27,83,60,87,67,57,50,37,50,20,60,63,47,50,40,47,50,83,70,57,60,80,73,60,57,43,83,60,77,63,80,80,73,67,27,43,47,50,50,40,50,60,89,63,67
77,60,63,77,40,67,53,50,63,50,33,63,80,93,77,73,63,83,67,80,73,67,50,67,53,80,83,60,43,77,70,13,23,47,73,67,53,80,67,43,70,73,33,53,57,67,43,53,40,40,67,53,63,70,63,43,63,67,13,43,57,57,57,73,37,57,70,63,30,67,63,57,57,60,63,40,63,50,67,73,50,63,33,27,53,50,73,57,27,63,47,47,33,47,57,70,37,53,53,43,53,67,90,60,70,43,63,33,37,40,30,37,27,80,60,80,70,93,90,67,63,80,97,53,67,80,77,80,57,53,33,33,33,73,7,53,33,60,40,40,37,37,33,13,33,63,93,93,90,70,80,33,57,33,27,23,33,47,40,23,53,87,67,33,50,70,47,57,33,47,70,50,50,57,63,63,40,70,27,77,30,87,40,63,50,87,39,93,61
73,63,67,80,43,70,20,13,30,17,43,33,67,63,37,67,67,63,47,63,70,53,77,60,37,57,40,27,37,53,50,40,13,40,73,50,83,73,43,13,7,50,23,67,27,50,27,17,50,63,50,37,63,47,23,33,53,33,3,17,23,63,20,80,60,73,60,47,43,70,17,20,17,30,17,23,33,43,63,63,47,47,27,23,30,43,37,33,43,37,20,40,43,20,43,30,30,77,67,80,77,37,77,30,40,13,13,13,13,27,57,40,43,43,23,60,47,67,70,73,80,53,67,80,33,30,70,73,20,17,20,27,43,33,30,67,13,30,13,17,47,33,63,43,77,67,53,80,60,60,50,33,67,57,43,30,27,47,37,13,37,67,37,33,37,20,20,23,17,17,67,13,40,37,63,50,17,33,30,40,50,77,67,67,37,33,56,47,83
63,63,77,67,53,63,40,60,47,37,77,53,70,93,67,80,80,67,50,63,77,60,40,83,57,63,57,37,47,57,83,30,80,53,57,43,57,70,73,23,17,77,27,57,47,47,53,50,40,30,33,53,90,60,50,50,83,73,33,37,60,53,43,67,53,40,67,33,40,87,50,43,50,47,53,33,57,37,57,57,20,33,37,27,33,63,33,43,30,43,30,23,47,37,37,53,30,40,50,23,40,43,67,20,67,33,57,57,30,40,57,43,57,60,43,80,67,87,67,77,77,67,77,83,23,50,67,80,43,47,30,57,63,53,27,50,47,63,47,33,47,27,53,17,43,77,73,87,77,67,70,43,70,13,57,33,37,37,37,23,43,57,60,30,33,63,53,43,63,73,77,53,60,50,93,77,40,47,20,57,47,70,30,43,60,50,83,63,72
80,80,67,80,77,77,40,33,33,80,70,43,87,37,57,83,60,80,57,27,57,37,77,77,20,23,27,27,10,20,77,70,57,73,77,50,83,53,53,20,20,63,27,37,40,47,37,17,23,27,23,67,70,53,50,20,67,77,27,60,37,57,50,83,70,57,20,13,30,7,33,20,17,30,30,20,30,30,23,27,20,50,27,27,10,60,57,57,60,47,13,30,57,17,43,17,20,40,37,43,67,37,83,40,63,53,30,43,60,60,30,37,10,13,20,37,20,37,63,77,53,53,27,73,87,67,83,73,50,17,47,57,87,10,20,37,47,40,17,40,13,43,43,40,63,87,63,40,43,20,10,20,40,30,17,17,27,13,20,50,40,43,30,20,33,43,23,20,47,50,87,17,53,57,60,63,33,63,23,43,33,70,37,20,47,57,39,40,56
3,0,20,17,27,3,10,37,77,67,70,43,63,63,30,83,80,50,47,47,20,20,27,23,83,60,67,70,50,93,77,7,17,43,3,7,60,43,0,27,20,7,60,67,80,60,93,70,67,57,77,27,20,40,27,53,43,27,30,47,73,70,13,3,43,40,90,33,37,43,70,50,40,57,57,87,60,57,43,93,80,73,67,53,93,100,80,83,20,17,77,60,67,83,67,60,97,33,67,37,37,20,3,10,0,30,70,40,30,10,20,47,60,63,63,47,77,63,87,87,83,63,80,83,17,10,3,0,13,53,53,33,63,67,30,67,27,77,30,60,60,53,90,77,90,80,93,83,93,90,50,63,53,33,80,97,67,73,100,70,67,37,80,87,80,83,73,53,50,47,80,60,53,3,20,23,30,43,53,77,10,0,57,73,43,93,83,73,61
43,20,37,43,23,37,40,13,80,73,33,57,50,80,43,80,67,40,57,50,60,80,50,50,77,67,77,77,73,70,67,33,30,53,37,33,60,30,43,27,40,43,73,63,80,67,67,83,63,50,80,57,57,53,67,50,57,47,60,70,70,63,23,40,47,40,67,43,63,57,80,53,60,53,77,57,60,70,73,87,80,77,60,53,77,60,73,70,23,53,73,63,53,73,63,80,70,40,57,40,33,43,43,30,37,63,73,13,63,57,80,70,83,70,80,63,73,87,87,83,57,53,87,80,47,27,33,23,23,57,70,60,40,80,67,57,27,77,37,47,87,67,70,67,67,73,83,83,70,67,77,73,70,47,83,67,60,83,80,60,50,73,77,63,73,80,77,67,13,17,73,37,57,70,57,63,17,70,57,77,63,33,63,60,50,73,78,80,78
33,27,37,10,40,10,90,67,97,90,77,97,73,97,70,93,83,50,57,53,73,53,0,73,87,87,83,93,70,87,93,30,40,53,33,17,13,33,63,73,73,30,63,87,97,77,67,83,87,73,73,60,70,57,50,70,90,90,73,77,97,80,50,37,37,37,83,37,43,77,93,93,90,97,93,80,93,57,40,70,73,80,57,37,60,70,77,73,33,10,67,43,67,80,43,77,87,43,43,20,0,10,30,43,47,87,93,83,90,50,57,47,60,83,90,87,83,100,83,83,70,70,100,87,57,40,33,17,50,90,73,57,63,83,43,43,83,97,90,20,70,37,70,67,63,97,83,87,73,83,83,73,97,20,87,67,57,70,73,73,33,40,100,97,63,100,77,93,87,87,97,97,87,80,53,83,80,60,27,93,40,20,27,57,50,80,89,90,61
70,57,63,70,77,57,47,60,83,60,80,77,80,80,67,77,87,77,60,37,73,33,23,87,73,87,83,73,73,37,77,47,60,87,57,27,30,57,77,53,53,53,43,67,73,83,30,47,73,30,27,53,87,73,53,57,70,83,53,40,80,87,47,83,67,77,53,27,33,60,73,73,70,73,73,57,73,47,40,13,30,60,23,27,43,60,67,53,27,37,47,23,43,57,57,73,27,57,30,37,30,20,60,63,80,60,73,53,57,47,37,43,43,90,77,83,67,87,90,83,80,77,83,87,37,67,57,50,47,73,47,77,73,77,23,30,50,80,57,43,17,30,47,37,33,80,83,87,67,53,87,60,87,20,57,43,23,33,43,30,53,70,87,53,37,83,30,73,70,70,80,77,70,57,90,70,40,60,40,73,47,63,30,13,13,70,61,83,61
77,67,80,100,47,97,30,20,50,57,50,53,67,100,80,80,100,40,30,27,50,17,43,60,37,73,77,63,43,57,67,23,0,80,57,50,93,77,87,17,40,30,47,80,67,83,33,43,60,13,47,23,80,30,20,40,100,83,70,40,50,87,27,80,83,100,67,50,60,100,43,7,17,27,37,0,47,33,47,40,20,53,0,0,33,47,40,27,23,73,0,20,43,10,33,43,0,17,40,23,17,57,70,33,83,60,30,20,33,13,7,3,20,63,60,87,77,90,77,87,90,80,90,87,30,70,70,43,27,17,27,73,47,53,53,40,30,50,20,3,30,7,77,43,60,77,100,90,87,67,67,50,87,20,43,30,0,10,33,13,20,73,50,17,13,50,40,17,33,37,77,60,73,27,67,73,17,27,40,73,17,40,17,43,13,67,67,87,83
23,43,23,17,57,27,63,50,90,77,80,57,37,63,60,77,93,97,83,67,80,93,17,83,47,43,40,63,33,23,87,70,33,47,37,7,23,57,60,60,70,30,37,53,63,53,77,83,80,50,53,67,73,63,93,63,47,53,37,67,90,57,37,23,17,20,20,17,7,43,93,87,83,83,93,77,93,50,73,43,63,70,70,53,57,93,90,93,53,7,60,63,60,83,60,50,67,40,53,17,13,3,20,23,43,63,90,57,70,73,73,63,80,40,40,43,30,70,97,63,80,93,77,60,80,40,27,20,37,90,60,60,70,27,30,53,47,93,70,63,77,63,77,57,60,90,87,83,40,20,37,33,57,40,67,73,70,83,57,60,67,77,87,80,70,97,70,90,60,60,90,83,47,83,70,77,57,73,50,50,87,20,70,43,60,80,94,80,67
73,33,63,63,87,73,70,63,50,57,37,77,70,93,80,77,70,53,60,43,73,33,27,63,20,23,23,13,20,47,67,53,40,63,77,70,20,53,53,70,77,43,20,20,27,17,33,20,30,40,23,67,77,73,20,57,37,53,53,47,60,20,70,73,60,53,57,53,23,73,63,70,70,70,73,27,83,60,57,53,67,43,57,47,50,60,57,50,77,70,63,50,77,23,80,7,30,30,37,23,23,73,80,70,53,87,73,70,70,20,53,43,33,20,10,37,47,93,73,47,73,80,90,30,40,67,73,53,70,67,40,70,47,7,30,37,70,60,83,30,47,53,57,30,33,60,90,90,47,57,23,23,33,27,47,27,57,40,67,33,47,50,33,17,47,63,33,57,70,73,73,87,77,37,77,77,70,47,3,17,27,57,57,53,30,87,11,90,17
73,83,67,73,93,67,40,67,40,30,90,50,70,80,73,93,57,80,30,40,60,37,43,43,53,27,37,30,20,33,90,50,87,77,60,43,67,93,60,27,17,30,17,43,37,40,30,43,23,23,7,50,67,33,40,30,70,67,17,37,67,57,53,70,63,67,33,17,30,80,43,37,40,50,37,33,47,43,33,13,23,40,27,33,37,47,50,43,77,50,30,23,33,47,33,40,23,37,30,20,43,37,70,60,63,43,43,53,27,60,53,67,50,33,33,40,33,83,77,70,80,80,80,80,73,53,67,53,53,40,10,73,80,20,7,30,50,63,50,53,20,50,47,37,60,93,80,87,53,33,20,17,43,0,47,33,27,27,17,23,13,43,43,33,37,53,43,37,67,80,97,70,90,63,73,57,37,40,17,27,47,53,27,7,10,60,67,57,61
87,77,83,77,77,87,60,80,60,60,93,57,100,83,27,97,100,47,53,43,73,93,50,83,20,3,33,40,17,13,97,90,63,73,90,47,33,50,37,40,20,67,23,43,57,40,40,40,60,57,17,77,67,53,93,67,63,27,67,33,50,60,97,73,50,60,13,7,17,80,43,53,60,53,57,30,70,47,27,27,20,57,27,30,23,97,63,60,100,57,23,17,83,33,13,23,30,30,27,33,50,43,90,63,40,60,53,93,43,80,77,70,67,3,27,33,13,93,93,100,93,97,93,100,87,27,87,80,97,60,60,83,93,7,50,27,77,37,63,73,53,57,17,3,37,93,100,93,10,13,10,33,50,7,33,13,27,43,23,43,40,47,57,33,10,33,40,50,93,80,97,63,83,77,73,77,77,83,20,23,80,83,40,3,30,100,100,87,83
70,33,70,87,80,70,47,10,10,13,17,40,77,93,53,57,73,80,77,93,80,100,97,90,23,40,47,20,23,43,40,47,63,13,83,73,83,77,90,30,40,67,13,23,17,43,23,17,23,57,23,100,77,83,100,53,67,63,53,40,7,43,40,87,7,60,47,77,23,70,13,17,17,30,17,27,50,87,63,63,50,57,37,60,50,57,67,53,67,73,40,37,50,10,57,23,17,83,83,83,100,73,70,37,87,37,10,17,27,87,100,87,97,37,27,60,37,87,80,60,77,80,70,47,70,73,67,73,40,13,20,20,20,30,47,83,23,7,7,60,83,70,50,33,47,27,63,83,50,47,43,27,43,47,70,33,37,60,67,17,73,60,13,7,37,7,30,17,10,10,43,3,40,87,77,77,20,87,40,37,90,87,47,67,63,60,33,73,44
