,Neutroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Novelty Seeking,Harm avoidance,Reward dependence,Persistence,Self-directedness,Cooperativeness,Self-transcendence,Primary Trait Dimensions,Folk Scales,Special Purpose Scales,Honesty-Humility,Emotionality,eXtraversion,Agreeableness,Concienciousness,Openness to Experience,Scales,Extraversion,Agreeableness,Independence,Openness to Experince,Methodicalness,Industriousness,Adjustment,Ambition,Sociability,Interpersonal Sensitivity,Prudence,Learning Approach
17,31,30,59,74,53,38,58,16,49,61,76,53,43,57,56,80,26,28,75,55,66,40,22,70,86,71,69,50,66,55,35,53,56,78
18,77,22,72,68,42,51,83,39,45,31,61,42,42,35,30,55,56,7,58,48,73,49,19,47,56,83,52,41,31,31,27,49,56,78
19,62,67,65,54,56,49,36,54,78,48,47,84,66,42,39,43,39,58,48,50,68,53,65,22,55,73,51,53,50,50,63,72,48,81
20,63,47,80,52,53,63,66,43,56,38,65,76,59,51,42,45,65,43,43,66,93,59,52,31,41,88,65,42,32,51,50,64,37,69
21,35,22,79,69,75,36,62,28,74,55,64,56,50,47,57,70,51,18,79,79,87,51,6,69,88,76,86,75,60,47,19,57,51,84
22,44,41,70,78,53,42,54,39,53,65,69,40,43,57,56,69,51,39,57,59,72,50,27,51,62,79,55,42,64,58,34,55,45,68
23,72,55,52,45,50,49,67,51,52,34,45,74,63,37,34,34,68,53,42,57,59,52,53,25,32,50,59,42,30,43,58,56,43,55
24,34,71,76,73,74,46,25,68,69,73,83,79,52,72,63,54,40,79,83,76,87,70,70,76,36,93,76,56,69,69,68,84,61,81
25,57,42,71,73,72,39,53,49,68,53,77,72,53,49,46,67,52,42,64,78,85,61,36,54,64,81,71,51,41,50,46,68,50,80
26,76,43,64,59,65,30,64,36,70,43,55,55,57,51,44,70,62,48,36,70,82,55,35,22,66,70,72,71,31,59,26,47,59,70
27,39,62,68,66,66,48,33,68,61,61,64,62,51,58,55,70,45,65,50,69,62,60,54,50,65,64,70,58,56,63,56,67,50,62
28,32,91,78,69,88,50,21,89,78,80,74,64,58,79,84,50,68,93,41,88,74,76,83,39,17,87,83,69,73,92,86,87,74,81
29,82,42,70,57,32,60,72,54,41,27,61,58,51,46,28,54,75,54,52,40,73,57,42,34,54,66,42,39,22,36,56,62,43,53
30,37,88,77,65,66,58,9,78,67,60,79,94,56,63,53,31,43,91,78,66,67,70,88,73,17,62,72,53,66,64,87,93,49,68
31,42,47,86,75,43,63,44,35,49,52,66,55,44,54,56,42,35,36,70,44,92,51,27,71,61,90,55,41,70,52,46,62,44,90
32,44,54,70,67,60,53,46,43,61,57,62,49,51,52,53,61,44,44,60,64,69,50,50,51,56,72,61,53,62,57,49,59,46,63
33,58,46,85,38,51,61,55,40,65,37,48,59,63,49,40,37,40,47,12,49,100,50,43,9,84,93,53,52,27,62,51,47,32,67
34,71,53,72,63,70,46,57,30,69,45,59,58,63,50,46,64,45,45,48,73,84,57,39,34,63,84,72,55,44,58,44,54,49,88
35,37,47,74,66,51,50,38,32,47,59,67,38,48,55,58,60,36,41,48,44,81,50,41,52,48,83,48,45,62,45,55,54,41,71
36,31,41,51,50,76,43,50,34,79,66,47,35,49,58,66,50,33,35,41,75,54,45,38,43,76,60,72,68,56,76,32,41,49,83
37,61,49,82,63,47,52,61,53,52,47,47,31,46,50,45,62,62,36,36,54,75,59,37,40,46,84,57,46,37,50,47,51,48,76
38,37,61,72,60,81,48,38,54,79,67,53,48,56,68,70,51,54,60,58,85,77,62,57,41,48,90,83,69,61,76,60,65,60,91
39,83,40,71,57,56,49,74,39,58,25,57,58,59,37,29,56,53,28,43,64,88,50,30,28,75,91,72,49,32,38,40,54,40,87
40,59,30,41,47,24,48,74,39,12,37,54,25,40,40,46,62,52,20,56,29,38,39,31,61,52,28,50,22,53,33,29,47,41,40
41,66,53,65,67,56,36,53,68,53,40,51,52,57,45,32,64,63,47,38,64,56,53,36,36,29,59,69,65,40,31,57,59,67,68
42,70,52,55,62,51,48,58,47,55,37,69,67,58,43,38,50,64,45,66,55,55,54,44,59,46,60,56,51,49,42,52,66,51,58
43,48,52,81,63,52,61,40,45,60,56,60,68,52,58,50,38,50,52,55,53,80,60,52,46,55,87,59,50,56,65,59,63,38,84
44,75,50,78,40,53,66,65,43,59,33,41,47,57,49,36,34,60,61,19,58,78,54,52,19,73,78,58,57,14,52,61,47,28,75
45,57,41,69,69,51,68,51,28,60,39,59,50,46,36,36,61,43,29,71,60,69,54,21,59,59,70,45,47,47,28,43,63,43,49
46,84,21,76,46,33,43,93,25,44,27,24,48,54,35,27,53,61,13,34,38,83,41,18,21,82,76,59,40,18,35,24,37,34,77
47,57,50,77,67,51,57,50,48,47,49,61,54,50,58,52,63,58,59,49,54,83,58,56,52,43,80,52,43,48,56,61,65,54,57
48,41,52,79,76,56,52,36,48,64,54,82,71,46,57,55,69,33,47,78,59,90,55,39,68,68,91,58,49,66,48,53,73,49,64
49,55,32,64,62,52,53,64,34,49,43,65,40,48,41,43,66,50,22,59,57,66,48,27,54,47,74,55,51,54,41,35,62,46,74
50,72,67,81,61,52,54,53,77,42,44,65,71,58,60,42,40,68,74,51,49,79,63,83,29,28,83,66,44,38,57,73,81,45,86
51,32,76,60,60,46,52,22,55,50,66,71,64,46,62,55,46,23,84,55,43,58,59,79,57,68,85,53,42,66,72,69,65,37,68
52,75,36,64,49,57,44,69,41,55,41,52,71,59,42,36,60,59,33,28,60,73,57,38,22,46,79,71,58,28,45,38,44,52,74
53,27,61,62,29,77,52,34,33,73,70,30,38,57,62,76,26,32,57,21,71,72,52,67,31,49,70,74,64,58,82,61,37,41,67
54,79,66,61,57,43,65,59,76,61,31,51,59,57,38,29,48,74,58,39,50,56,58,60,40,32,49,44,42,31,35,74,64,46,47
55,61,52,75,41,56,75,54,39,69,29,44,49,57,50,43,16,43,63,38,60,73,55,58,41,58,73,60,57,36,55,61,47,33,71
56,43,36,82,82,34,42,51,38,29,46,68,62,36,54,43,63,42,24,68,38,88,45,32,69,52,89,54,23,72,39,41,61,49,77
57,16,66,67,73,79,43,22,57,64,77,70,69,50,72,78,52,34,62,56,82,74,56,58,56,35,87,90,57,84,83,61,68,57,74
58,29,51,65,64,81,43,42,22,67,73,49,51,52,62,71,58,32,47,38,78,77,50,44,36,83,83,83,62,70,81,37,39,52,82
59,48,65,86,74,87,43,36,62,89,62,73,87,61,59,54,58,51,60,60,92,94,68,69,57,56,96,89,71,58,66,65,76,62,92
60,2,95,74,74,88,51,0,60,90,85,94,93,52,81,91,55,23,93,90,88,90,64,73,93,77,78,77,76,80,93,77,94,39,72
61,53,49,67,54,68,43,45,53,55,52,51,52,51,48,45,52,57,49,38,72,73,56,50,41,42,76,78,54,46,50,61,53,50,57
62,62,50,82,87,63,58,62,67,93,53,78,92,56,49,51,85,73,39,75,70,93,67,21,56,52,87,51,72,50,52,32,79,64,77
63,74,56,79,56,49,69,61,60,57,49,55,54,60,43,33,50,66,56,39,46,83,56,66,21,34,81,47,51,29,58,60,69,46,60
64,62,30,73,72,36,38,68,39,37,43,68,43,45,48,35,72,53,24,59,44,74,44,22,51,40,85,60,38,46,27,39,56,49,88
65,43,51,80,79,70,38,57,38,67,55,74,59,49,60,61,64,53,42,75,76,75,55,36,63,48,84,77,62,69,60,49,69,64,74
66,54,25,65,48,42,42,57,32,58,47,38,20,41,40,29,67,36,17,56,51,77,45,16,42,67,77,49,60,43,27,24,39,48,78
67,68,47,82,71,55,39,69,67,48,50,65,81,52,50,42,81,65,45,38,60,93,55,35,34,48,86,62,50,34,50,40,65,47,71
68,49,64,83,83,59,47,58,75,50,67,72,57,54,62,59,76,69,52,74,60,81,63,53,61,27,91,63,54,53,70,57,81,66,76
69,61,30,77,26,40,66,71,17,43,32,25,48,49,40,38,32,30,21,19,45,92,43,32,19,69,96,51,39,32,42,37,22,25,92
70,26,48,64,69,71,34,37,47,71,74,71,53,52,69,75,63,41,51,64,65,84,55,49,64,46,91,68,63,73,72,55,55,62,73
71,55,33,64,67,27,52,57,51,19,41,63,31,40,50,32,52,56,45,73,28,59,45,38,67,25,59,39,29,53,33,51,57,53,41
72,79,29,75,57,32,55,80,34,31,35,55,59,51,35,28,65,64,24,47,29,72,53,29,50,60,81,31,29,17,31,36,43,35,72
73,25,40,91,77,38,60,50,53,45,74,77,61,35,61,63,66,52,43,65,35,85,48,37,60,64,79,23,41,67,64,35,66,36,70
74,44,69,86,60,71,51,39,50,78,66,57,51,59,62,56,34,52,72,51,71,87,62,64,40,52,90,76,64,48,73,69,66,46,79
75,76,43,76,63,50,46,72,61,43,44,76,85,57,47,41,67,82,44,48,62,88,60,34,41,47,77,61,50,27,43,48,65,44,44
76,71,41,71,43,56,46,66,37,59,39,41,33,55,41,33,46,47,42,47,53,66,50,37,35,61,72,69,41,29,40,51,51,43,68
77,24,69,91,77,70,57,24,78,58,75,70,52,42,70,70,65,50,69,68,70,92,62,51,59,41,98,70,47,65,68,74,77,51,86
78,72,42,76,84,70,33,72,51,59,43,70,59,55,45,43,87,67,32,68,79,80,60,20,58,32,79,80,58,42,40,36,68,63,69
79,70,46,81,56,47,69,59,46,52,40,48,49,50,45,39,58,56,34,42,43,85,57,35,39,47,91,41,45,34,41,47,51,36,77
80,36,81,81,72,67,46,30,61,83,65,67,71,56,74,69,52,47,88,55,64,96,65,73,48,54,94,63,59,63,74,84,69,50,86
81,52,68,67,48,67,65,34,47,79,49,57,76,60,58,60,38,44,76,33,71,80,61,51,22,68,80,67,61,43,68,67,61,34,75
82,77,40,70,33,50,73,53,34,49,27,43,51,53,32,27,39,39,41,14,64,76,53,29,10,64,87,56,31,25,36,43,38,33,52
83,73,32,68,68,16,58,74,43,21,33,60,46,43,34,28,87,62,25,43,26,67,45,14,27,49,68,40,32,31,26,30,62,47,66
84,21,61,79,76,92,33,26,45,86,78,77,53,58,78,87,64,34,60,53,93,93,63,51,67,82,90,94,79,82,89,42,71,52,96
85,37,76,78,85,50,54,34,72,41,66,83,48,44,72,72,87,68,80,72,48,69,61,62,71,38,72,39,39,72,59,72,87,50,60
86,73,43,81,61,10,78,62,59,13,29,65,71,40,38,27,61,63,41,53,13,84,55,44,57,52,78,19,17,35,26,61,63,29,60
87,41,64,63,51,74,46,42,54,73,60,57,49,59,69,69,41,54,72,32,74,77,62,69,44,41,87,73,63,55,78,64,55,56,82
88,83,25,62,60,27,61,82,42,37,19,61,73,53,31,20,44,68,22,52,35,67,48,18,41,71,73,42,42,21,25,35,58,37,57
89,37,60,74,59,67,58,38,33,76,61,48,35,49,55,56,32,31,49,37,68,87,51,43,37,67,91,63,60,59,69,58,53,43,84
90,56,40,79,41,53,58,56,46,38,58,48,71,52,50,53,59,56,41,13,50,85,52,41,20,61,84,43,39,43,67,49,39,38,68
91,65,47,77,72,28,58,58,55,27,52,76,87,48,49,46,67,63,43,64,25,83,56,33,62,48,78,40,26,43,45,50,69,37,45
92,48,75,72,55,73,43,41,74,78,56,65,67,67,65,59,46,67,81,52,71,73,63,82,44,27,71,73,69,51,68,82,78,56,76
93,76,69,80,45,46,63,58,80,58,29,50,67,64,58,37,21,76,77,27,55,84,55,84,16,29,73,64,51,28,60,76,70,40,61
94,70,52,79,64,51,59,61,72,43,45,60,62,53,48,41,51,72,44,62,54,79,61,41,48,30,70,62,41,37,47,49,70,51,55
95,37,44,74,76,49,67,53,27,58,62,79,35,48,48,57,84,43,29,72,49,78,51,22,62,64,81,48,51,59,47,41,67,39,60
96,67,58,78,68,40,56,60,76,28,47,67,61,54,49,43,70,72,45,56,42,81,60,47,51,32,77,58,34,41,47,52,73,49,62
97,51,29,65,50,30,79,55,14,19,41,37,28,34,44,38,45,24,24,38,37,79,42,12,37,72,79,41,27,44,30,31,42,30,94
98,47,51,81,59,62,55,46,57,69,50,63,46,54,65,57,42,70,63,69,59,89,63,54,54,50,87,62,52,56,68,60,67,44,76
99,79,28,75,80,29,39,83,53,18,31,75,71,49,34,21,94,77,18,88,39,77,54,14,71,37,72,48,29,35,12,36,69,53,44
100,46,72,73,36,64,44,29,37,88,44,53,64,72,58,53,10,44,80,48,66,96,60,83,40,36,97,77,71,58,70,83,54,37,95
101,43,51,83,81,51,59,48,54,59,58,75,53,51,53,53,62,56,38,71,57,89,48,37,65,42,82,54,52,73,52,55,77,50,63
102,26,50,57,65,71,22,37,64,49,59,79,59,52,67,62,63,34,66,54,72,64,50,64,33,75,60,78,60,61,71,39,71,62,76
103,23,48,72,71,32,60,37,29,33,69,78,48,39,68,67,54,27,50,82,34,88,48,37,77,71,93,43,35,80,59,49,68,36,76
104,82,39,64,61,62,61,64,50,54,41,55,51,55,36,29,89,59,30,21,73,61,55,32,14,52,79,67,38,26,28,51,42,53,60
105,51,33,72,67,25,73,52,44,31,33,58,45,32,43,40,49,38,30,53,29,69,50,17,51,49,75,31,28,60,33,39,59,38,70
106,73,20,76,73,49,44,79,27,50,40,75,65,44,40,32,92,57,13,62,50,84,49,10,49,82,78,52,49,25,34,24,54,47,58
107,60,54,80,52,23,73,64,53,23,39,55,52,51,54,52,36,69,55,50,23,81,47,52,48,46,73,32,26,55,45,57,56,29,56
108,91,44,66,60,47,54,70,49,72,29,65,80,61,36,22,83,76,43,25,52,79,60,32,22,28,84,41,64,14,29,51,56,48,85
109,68,39,65,57,56,37,70,43,58,44,52,64,59,42,40,69,70,25,48,58,72,55,32,35,47,60,60,51,36,42,36,48,51,71
110,76,75,75,58,31,74,48,69,54,35,79,85,67,46,29,18,71,86,43,38,78,64,87,38,23,73,38,43,36,47,87,84,39,67
111,41,90,92,69,41,68,26,87,71,55,81,79,59,69,63,46,68,96,72,37,98,68,91,68,17,90,40,50,66,82,89,91,40,83
112,42,59,76,68,65,49,46,56,60,64,64,60,53,60,65,67,53,49,45,62,81,56,51,43,44,76,65,50,59,68,57,64,48,63
113,35,69,78,68,59,58,34,49,63,63,69,76,52,66,65,75,52,70,59,57,88,63,53,53,56,91,52,55,54,69,59,65,36,74
114,56,66,82,71,56,58,48,64,64,54,71,83,61,56,49,58,69,62,54,55,90,62,59,51,51,82,53,54,44,62,61,74,34,76
115,43,49,52,78,66,44,57,49,63,57,78,65,58,43,54,81,54,43,76,78,47,49,38,76,51,43,69,66,58,48,46,73,61,50
116,52,69,73,68,68,45,31,75,61,69,69,52,59,66,65,76,66,72,47,65,75,67,57,47,40,81,75,58,51,72,63,71,52,59
117,18,51,60,52,86,44,36,16,84,66,41,24,53,62,70,34,14,46,48,87,80,44,40,42,69,84,90,72,70,78,52,47,56,92
118,32,78,59,54,57,59,14,75,66,69,63,66,50,67,63,47,46,80,37,54,50,60,77,31,50,64,52,59,64,79,74,65,46,64
119,69,32,81,78,38,44,79,48,36,40,66,49,48,46,43,70,69,15,46,39,83,49,16,52,36,84,61,37,43,43,35,55,51,77
120,47,35,80,77,76,50,53,60,80,56,69,93,58,43,63,85,40,22,49,89,100,54,13,42,67,93,80,80,56,50,20,65,63,77
121,71,47,84,51,51,61,70,68,39,37,47,51,58,46,40,47,69,43,33,53,88,55,52,20,34,81,65,31,37,53,54,54,47,67
122,27,41,61,76,54,23,56,29,35,62,72,56,46,64,63,73,38,35,75,51,79,47,25,69,81,76,73,47,70,60,36,60,56,87
123,56,58,63,69,70,36,43,49,66,51,67,67,57,52,52,62,56,53,57,68,63,56,52,52,54,69,70,67,52,60,50,67,55,71
124,57,49,52,75,60,45,60,49,69,45,78,56,56,54,57,54,65,37,63,60,53,55,40,53,37,67,68,67,54,59,37,62,65,73
125,31,63,78,75,59,68,42,51,73,75,73,37,49,65,64,79,47,57,62,53,78,58,51,62,42,77,37,59,65,75,65,75,58,82
126,52,61,68,54,71,71,51,64,78,55,54,61,56,47,58,27,74,58,37,76,62,60,67,19,33,80,67,63,53,70,67,63,51,70
127,73,51,85,57,62,50,68,52,64,43,50,51,62,52,41,39,72,48,34,62,92,55,54,36,40,91,62,52,27,58,59,53,46,79
128,75,36,74,66,42,62,70,43,39,31,53,43,45,39,36,55,64,25,51,44,66,53,28,58,31,77,44,36,38,32,49,47,44,69
129,46,48,66,71,50,53,48,38,56,55,72,57,47,53,55,63,43,43,73,49,74,55,43,66,57,73,48,52,64,48,53,60,54,73
130,61,26,84,70,36,46,70,29,39,39,61,35,42,49,37,78,48,18,74,37,93,49,7,63,56,96,46,27,48,20,37,56,45,89
131,18,52,81,90,87,46,39,51,88,69,90,77,48,67,78,86,42,49,76,86,91,62,47,65,60,93,69,61,71,76,53,84,55,80
132,67,30,60,3,20,80,58,15,50,32,12,13,45,36,26,0,23,33,10,23,58,31,57,13,60,60,27,37,25,48,52,16,23,72
133,67,71,81,62,52,61,49,75,40,38,64,78,67,53,50,21,61,65,44,49,82,60,71,48,36,87,71,37,46,59,90,67,26,88
134,42,37,55,41,50,56,56,15,59,43,32,15,43,49,46,35,22,43,27,49,58,36,38,30,92,62,58,64,46,60,33,28,36,60
135,85,57,86,60,45,71,73,71,54,35,63,93,62,36,27,62,76,47,39,48,85,62,41,26,40,88,44,47,23,42,55,64,36,57
136,58,56,75,44,39,69,44,58,58,39,52,46,57,51,36,32,43,56,42,39,83,54,57,41,49,82,41,50,40,44,59,59,34,83
137,20,66,75,84,54,48,38,68,43,69,82,63,42,63,69,66,51,49,94,61,84,56,55,81,19,76,61,30,91,56,77,83,63,60
138,47,42,76,67,87,34,50,38,77,61,45,47,55,58,65,77,58,31,35,95,84,59,31,38,54,80,92,64,58,57,33,49,61,87
139,35,66,73,71,66,44,39,57,67,63,75,59,53,71,69,54,55,71,71,66,79,64,69,57,38,88,62,58,68,67,66,78,59,64
140,50,53,73,58,33,62,58,33,43,43,56,61,52,52,46,32,42,45,76,30,88,56,38,72,62,89,44,33,54,48,53,58,28,85
141,24,59,71,78,56,44,31,67,46,75,78,46,44,78,74,65,61,73,80,51,59,56,64,74,49,78,69,52,79,71,67,81,51,70
142,57,64,77,70,25,68,54,72,27,51,71,60,48,52,43,46,74,61,69,23,77,62,62,67,25,79,30,19,50,46,75,81,38,62
143,20,68,67,69,67,45,28,57,66,78,73,48,47,74,81,62,48,67,74,61,68,63,64,77,42,70,56,59,81,78,64,67,58,84
144,22,62,87,87,57,40,31,65,60,73,87,73,43,76,78,82,44,68,91,48,93,62,50,87,72,95,57,48,76,72,60,80,51,80
145,47,46,75,77,51,40,62,52,44,45,64,73,47,55,47,76,53,44,73,46,78,51,31,54,75,79,52,24,52,55,38,66,42,63
146,56,54,87,55,66,68,55,58,54,55,50,42,52,61,54,41,62,53,28,67,91,59,44,32,51,92,59,40,37,67,59,47,31,74
147,76,56,67,51,60,52,65,55,60,33,57,63,64,43,32,56,59,57,40,63,73,57,61,32,40,80,61,56,29,46,54,61,47,84
148,59,35,72,71,61,43,66,33,67,45,75,62,53,47,51,53,49,20,74,63,79,51,26,60,65,81,66,61,55,49,33,65,55,77
149,46,74,69,53,50,62,38,60,71,53,65,70,59,60,57,37,62,69,49,46,77,62,76,45,23,76,42,51,58,75,74,67,45,48
150,28,60,58,59,64,52,35,68,67,69,63,46,48,64,65,53,49,50,32,62,57,58,43,41,44,77,63,63,63,68,48,58,59,74
151,34,42,67,54,33,59,56,53,29,53,59,26,38,53,54,41,57,42,78,28,57,44,32,72,56,59,38,23,63,44,47,63,39,77
152,84,34,60,49,67,47,70,34,65,28,63,58,58,35,27,73,48,24,43,75,77,54,18,34,47,81,82,64,16,37,27,39,57,70
153,57,49,66,62,56,49,54,39,65,44,61,39,55,52,44,59,49,53,53,60,76,53,40,35,44,80,64,52,45,41,59,62,56,63
154,82,40,67,57,27,74,67,34,39,32,51,53,52,28,22,57,63,32,30,36,57,48,18,31,46,61,29,24,34,18,43,45,29,65
155,87,29,80,27,42,79,87,24,51,30,32,61,59,31,26,16,52,24,18,51,86,49,47,15,79,86,48,38,9,42,51,34,20,77
156,79,28,77,69,67,25,79,49,65,37,57,53,52,41,31,87,70,26,53,80,82,57,16,46,56,78,74,56,30,31,42,51,67,84
157,62,58,65,54,58,53,56,72,54,41,56,61,57,49,48,48,69,55,34,63,69,57,59,33,39,70,59,51,37,49,59,65,49,61
158,56,41,68,52,45,67,63,44,29,46,49,24,40,46,49,38,53,37,33,47,53,48,35,30,40,68,60,26,48,51,49,47,41,53
159,6,73,83,59,90,62,9,59,88,83,59,51,48,78,89,19,40,81,53,89,96,62,76,52,54,93,79,66,85,92,70,73,49,94
160,55,46,69,64,65,40,59,40,71,47,59,33,52,54,55,54,53,40,51,67,76,55,35,53,40,89,72,65,57,52,46,51,56,85
161,67,18,77,71,21,39,90,43,8,37,74,45,41,38,35,82,73,13,47,18,80,46,11,45,41,70,37,9,40,15,35,61,39,34
162,82,54,62,42,27,60,71,66,31,31,50,59,57,39,28,47,73,56,21,21,55,54,59,20,35,60,34,28,19,41,63,59,37,56
163,60,66,60,35,31,81,43,54,54,41,43,42,51,43,40,32,46,65,14,32,49,50,68,19,49,49,31,40,38,52,78,54,29,45
164,81,41,63,51,54,64,75,49,52,40,45,44,56,36,33,54,63,36,35,58,66,50,34,24,68,71,49,49,16,50,37,53,37,62
165,46,53,74,64,46,51,48,46,50,54,67,51,45,60,56,64,41,49,62,46,76,52,52,55,53,76,56,42,56,56,60,61,47,66
166,63,31,74,72,52,35,70,42,35,42,69,76,53,54,40,71,69,35,59,47,86,54,30,51,59,79,55,44,33,46,32,58,48,68
167,40,50,63,78,28,59,43,58,34,59,75,74,34,62,53,67,43,51,85,26,55,53,34,68,63,71,21,31,70,54,41,73,43,57
168,72,50,65,69,61,54,56,50,73,38,71,84,62,37,39,71,58,37,64,67,69,58,38,56,38,82,58,63,42,39,46,63,56,76
169,48,62,50,43,45,60,47,39,40,43,39,54,50,46,44,30,37,56,54,43,54,49,48,51,68,50,49,33,48,50,67,53,30,44
170,53,68,78,66,74,49,40,66,88,46,67,88,67,54,44,29,66,70,71,81,90,67,72,42,38,91,81,66,48,64,64,79,63,89
171,74,63,64,64,49,62,59,60,57,45,64,83,61,39,32,51,59,54,61,54,59,59,52,50,41,68,61,47,36,46,61,65,49,76
172,75,40,83,47,67,46,71,66,58,40,51,73,65,52,40,32,73,42,21,73,90,61,48,12,38,90,87,54,17,58,51,47,48,75
173,86,82,78,46,51,79,43,80,53,23,55,77,67,39,26,31,73,83,28,59,85,72,82,29,9,88,52,32,28,40,90,71,39,66
174,53,63,57,52,53,50,47,58,60,53,52,60,59,50,48,47,48,59,56,54,64,54,57,48,41,71,56,46,52,61,60,59,53,62
175,62,24,89,69,32,48,67,28,32,49,61,76,48,44,43,80,49,18,65,28,90,46,7,57,77,91,40,40,43,34,35,53,33,54
176,82,45,77,55,44,59,66,49,42,33,49,67,57,38,22,23,64,43,53,51,84,54,39,42,54,90,63,38,25,41,60,55,42,53
177,79,43,64,54,24,63,58,61,33,21,61,78,49,32,20,48,58,42,33,29,59,49,29,26,59,64,16,16,23,16,45,54,33,38
178,63,63,64,59,82,35,48,66,75,57,63,67,60,57,44,70,58,73,33,88,62,57,59,27,71,65,89,64,32,55,60,67,52,70
179,41,74,67,71,38,61,36,83,35,52,79,88,46,62,54,48,66,84,76,36,58,65,69,70,20,70,37,28,68,49,87,89,47,42
180,55,66,67,52,50,64,40,58,67,47,49,64,56,53,50,36,50,65,34,51,78,62,58,33,40,78,51,54,48,49,65,58,43,84
181,58,43,68,53,33,56,58,50,34,40,48,54,46,42,38,51,54,38,41,34,63,49,38,41,56,66,41,31,43,32,53,49,34,64
182,56,39,66,57,53,38,71,34,45,49,55,42,54,46,45,74,57,22,42,55,70,49,27,41,53,77,64,45,41,43,37,43,44,67
183,59,37,79,68,44,42,71,38,51,52,62,38,44,57,57,87,58,31,59,43,86,50,15,60,70,90,46,47,50,47,33,49,46,78
184,67,51,68,65,28,61,54,52,24,42,57,71,45,43,39,64,58,54,32,29,69,52,41,40,44,69,35,18,45,34,64,58,37,46
185,41,62,71,54,61,68,42,57,46,61,49,48,45,55,56,32,55,60,47,63,69,52,58,48,30,62,64,41,59,63,73,57,45,62
186,53,39,83,65,53,48,72,58,52,50,69,62,49,51,55,60,71,30,64,57,81,57,29,58,37,80,59,55,52,48,51,62,53,70
187,50,68,63,10,55,84,28,28,58,48,16,42,56,46,47,11,16,76,8,53,80,51,76,13,52,84,49,48,33,66,76,27,24,77
188,75,38,70,73,51,48,72,49,47,31,74,46,52,43,36,68,64,35,71,57,74,57,31,49,33,82,77,51,38,29,58,75,62,79
189,49,63,76,65,54,58,38,45,49,67,65,42,44,70,68,53,44,58,60,47,79,60,49,51,58,89,52,44,59,72,68,58,44,90
190,70,52,64,45,38,57,68,48,37,33,41,25,58,47,37,52,67,49,43,37,69,54,55,34,31,69,44,41,35,45,59,49,51,65
191,71,63,78,46,49,68,54,65,57,39,43,62,64,42,40,24,69,59,23,55,78,61,66,23,24,81,54,42,37,52,70,59,39,59
192,45,56,76,38,49,44,48,59,49,53,39,46,52,61,57,39,55,66,28,45,77,53,63,29,41,77,51,41,47,61,65,47,43,54
